CONM,TIC,CIK,SIC
VICOR CORP,VICR,0000751978,3679
MCGRATH RENTCORP,MGRC,0000752714,7359
NEXTERA ENERGY INC,NEE,0000753308,4911
UNITIL CORP,UTL,0000755001,4931
USG CORP,USG,0000757011,3270
VIDEO DISPLAY CORP,VIDE,0000758743,3670
QUALSTAR CORP,QBAK,0000758938,3572
LSI INDUSTRIES INC,LYTS,0000763532,3640
LCI INDUSTRIES,LCII,0000763744,3711
CLEVELAND-CLIFFS INC,CLF,0000764065,1000
ALTRIA GROUP INC,MO,0000764180,2111
VBI VACCINES INC,VBIV,0000764195,2836
INSTEEL INDUSTRIES,IIIN,0000764401,3310
BEST BUY CO INC,BBY,0000764478,5731
CAS MEDICAL SYSTEMS INC,CASM,0000764579,3845
ALASKA AIR GROUP INC,ALK,0000766421,4512
CVD EQUIPMENT CORP,CVV,0000766792,3559
SJW GROUP,SJW,0000766829,4941
CYANOTECH CORP,CYAN,0000768408,2833
CYBEROPTICS CORP,CYBE,0000768411,3827
RELIV INTERNATIONAL INC,RELV,0000768710,2834
BIG LOTS INC,BIG,0000768835,5331
TRUEBLUE INC,TBI,0000768899,7363
AUTODESK INC,ADSK,0000769397,7370
MIDDLEBY CORP,MIDD,0000769520,3580
KOPIN CORP,KOPN,0000771266,3674
ABM INDUSTRIES INC,ABM,0000771497,7340
CHAMPIONS ONCOLOGY INC,CSBR,0000771856,2836
DOCUMENT SECURITY SYS INC,DSS,0000771999,7373
CIRRUS LOGIC INC,CRUS,0000772406,3674
MDC HOLDINGS INC,MDC,0000773141,1531
HONEYWELL INTERNATIONAL INC,HON,0000773840,9997
OSHKOSH CORP,OSK,0000775158,3711
PACIFIC ETHANOL INC,PEIX,0000778164,2860
BLUEGREEN VACATNS CORP,BXG,0000778946,7011
HENRY (JACK) & ASSOCIATES,JKHY,0000779152,7373
ARK RESTAURANTS CORP,ARKR,0000779544,5812
ITRON INC,ITRI,0000780571,3824
EMMIS COMMUNICATIONS CP-CL A,EMMS,0000783005,4832
DAILY JOURNAL CORP,DJCO,0000783412,7372
CRYOLIFE INC,CRY,0000784199,3842
ENCOMPASS HEALTH CORP,EHC,0000785161,8060
DLH HOLDINGS CORP,DLHC,0000785557,8090
PLEXUS CORP,PLXS,0000785786,3672
J & J SNACK FOODS CORP,JJSF,0000785956,2050
ACURA PHARMACEUTICALS INC,ACUR,0000786947,2834
NATURAL ALTERNATIVES,NAII,0000787253,2834
JOHNSON OUTDOORS INC  -CL A,JOUT,0000788329,3690
SIGMA LABS INC,SGLB,0000788611,8731
PUBLIC SERVICE ENTRP GRP INC,PEG,0000788784,4931
PRO-DEX INC/CO,PDEX,0000788920,3841
HALLADOR ENERGY CO,HNRG,0000788965,1220
MICROSOFT CORP,MSFT,0000789019,7372
WORLD FUEL SERVICES CORP,INT,0000789460,5172
MGM RESORTS INTERNATIONAL,MGM,0000789570,7990
NACCO INDUSTRIES  -CL A,NC,0000789933,1221
CARLISLE COS INC,CSL,0000790051,2950
RADNET INC,RDNT,0000790526,8071
TECH DATA CORP,TECD,0000790703,5045
XOMA CORP,XOMA,0000791908,2836
CYPRESS SEMICONDUCTOR CORP,CY,0000791915,3674
AMAG PHARMACEUTICALS INC,AMAG,0000792977,2834
ASTEC INDUSTRIES INC,ASTE,0000792987,3531
WERNER ENTERPRISES INC,WERN,0000793074,4213
RESEARCH FRONTIERS INC,REFR,0000793524,8731
SKYWEST INC,SKYW,0000793733,4512
HARLEY-DAVIDSON INC,HOG,0000793952,3751
TOLL BROTHERS INC,TOL,0000794170,1531
MERIDIAN BIOSCIENCE INC,VIVO,0000794172,2835
MACY'S INC,M,0000794367,5311
AMERICAN WOODMARK CORP,AMWD,0000794619,2430
TRANS WORLD ENTMT CORP,TWMC,0000795212,5735
KB HOME,KBH,0000795266,1531
WATTS WATER TECHNOLOGIES INC,WTS,0000795403,3490
ADOBE INC,ADBE,0000796343,7370
CLEARFIELD INC,CLFD,0000796505,3679
VIASAT INC,VSAT,0000797721,3663
LAKELAND INDUSTRIES INC,LAKE,0000798081,3842
P.A.M. TRANSPORTATION SVCS,PTSI,0000798287,4213
FISERV INC,FISV,0000798354,7374
ODYSSEY MARINE EXPLORATION,OMEX,0000798528,4400
DAWSON GEOPHYSICAL CO,DWSN,0000799165,1382
MARTEN TRANSPORT LTD,MRTN,0000799167,4213
HEARTLAND EXPRESS INC,HTLD,0000799233,4213
LANDS' END INC,LE,0000799288,5961
M/I HOMES INC,MHO,0000799292,1531
CYTRX CORP,CYTR,0000799698,2836
AMERICA'S CAR-MART INC,CRMT,0000799850,5500
OFFICE DEPOT INC,ODP,0000800240,5940
PILGRIM'S PRIDE CORP,PPC,0000802481,2015
QUALCOMM INC,QCOM,0000804328,3674
CERNER CORP,CERN,0000804753,7373
AXOGEN INC,AXGN,0000805928,3842
PSYCHEMEDICS CORP,PMD,0000806517,8071
VOXX INTERNATIONAL CORP,VOXX,0000807707,3651
MITEK SYSTEMS INC,MITK,0000807863,3577
JACK IN THE BOX INC,JACK,0000807882,5812
EMCORE CORP,EMKR,0000808326,3663
NAVISTAR INTERNATIONAL CORP,NAV,0000808450,3711
GCI LIBERTY INC,GLIBA,0000808461,4812
GCI LIBERTY INC -OLD,GNCMA,0000808461,
CARROLS RESTAURANT GROUP INC,TAST,0000809248,5812
ECOLOGY AND ENVIRONMENT INC,EEI,0000809933,8711
PHOTRONICS INC,PLAB,0000810136,3674
MESA AIR GROUP,MESA,0000810332,4512
NAVIDEA BIOPHARMACEUTICALS,NAVB,0000810509,2835
CMS ENERGY CORP,CMS,0000811156,4931
THERMOGENESIS HOLDINGS INC,THMO,0000811212,3821
BIOLASE INC,BIOL,0000811240,3843
KAISER ALUMINUM CORP,KALU,0000811596,3350
IMMUCELL CORP,ICCC,0000811641,2835
VAIL RESORTS INC,MTN,0000812011,7990
O-I GLASS INC,OI,0000812074,3221
SANDERSON FARMS INC,SAFM,0000812128,2015
DESTINATION XL GROUP INC,DXLG,0000813298,5651
CADENCE DESIGN SYSTEMS INC,CDNS,0000813672,7372
VIACOMCBS INC,VIAC,0000813828,4888
FAIR ISAAC CORP,FICO,0000814547,7373
EBIX INC,EBIX,0000814549,7372
LIFEWAY FOODS INC,LWAY,0000814586,2020
CPS TECHNOLOGIES CORP,CPSH,0000814676,3290
ABIOMED INC,ABMD,0000815094,3841
CARNIVAL CORPORATION & PLC,CCL,0000815097,4400
CELGENE CORP,CELG,0000816284,2834
TERADATA CORP,TDC,0000816761,7370
CONMED CORP,CNMD,0000816956,3845
SYNAPTICS INC,SYNA,0000817720,3674
HERON THERAPEUTICS INC,HRTX,0000818033,2836
DENTSPLY SIRONA INC,XRAY,0000818479,3843
VICAL INC,VICL,0000819050,
MULTI-COLOR CORP,LABL,0000819220,2750
MICRON SOLUTIONS INC,MICR,0000819689,3845
ALBANY INTL CORP  -CL A,AIN,0000819793,2221
SHARING ECONMY INTL INC -OLD,SEII.1,0000819926,
CAMBREX CORP,CBM,0000820081,2833
AMPHENOL CORP,APH,0000820313,3678
II-VI INC,IIVI,0000820318,3827
G-III APPAREL GROUP LTD,GIII,0000821002,2300
ANDERSONS INC,ANDE,0000821026,5150
US CELLULAR CORP,USM,0000821130,4812
PAR PACIFIC HOLDINGS INC,PARR,0000821483,2911
PULTEGROUP INC,PHM,0000822416,1531
INTER PARFUMS INC,IPAR,0000822663,2844
CLEAN HARBORS INC,CLH,0000822818,4955
SOTHEBY'S,BID,0000823094,7389
WASTE MANAGEMENT INC,WM,0000823768,4953
AAON INC,AAON,0000824142,3585
GOOD TIMES RESTAURANTS INC,GTIM,0000825324,5812
ARC GROUP WORLDWIDE INC,ARCW,0000826326,3490
EDISON INTERNATIONAL,EIX,0000827052,4911
MICROCHIP TECHNOLOGY INC,MCHP,0000827054,3674
SLEEP NUMBER CORP,SNBR,0000827187,2510
NOVELION THERAPEUTICS INC,NVLNF,0000827809,2834
EAGLE PHARMACEUTICALS INC,EGRX,0000827871,2834
STARBUCKS CORP,SBUX,0000829224,5812
INUVO INC,INUV,0000829323,7370
CHASE CORP,CCF,0000830524,2891
FREEPORT-MCMORAN INC,FCX,0000831259,1000
SPECTRUM PHARMACEUTICALS INC,SPPI,0000831547,2836
TETRA TECH INC,TTEK,0000831641,8711
IDEX CORP,IEX,0000832101,3561
EW SCRIPPS  -CL A,SSP,0000832428,4833
MAM SOFTWARE GROUP INC,MAMS,0000832488,7370
SIGNET JEWELERS LTD,SIG,0000832988,5944
MERITAGE HOMES CORP,MTH,0000833079,1531
JOHNSON CONTROLS INTL PLC,JCI,0000833444,3585
POWER INTEGRATIONS INC,POWI,0000833640,3674
BIOLIFE SOLUTIONS INC,BLFS,0000834365,2836
MGP INGREDIENTS INC,MGPI,0000835011,2085
PROGENICS PHARMACEUTICAL INC,PGNX,0000835887,2836
LINDSAY CORP,LNN,0000836157,3523
INNOVATIVE SOLTNS & SUPP INC,ISSC,0000836690,3577
CALLAWAY GOLF CO,ELY,0000837465,3949
WILLAMETTE VALLEY VINEYARDS,WVVI,0000838875,2084
FIRSTCASH INC,FCFS,0000840489,5900
CLEARONE INC,CLRO,0000840715,3663
BIO-TECHNE CORP,TECH,0000842023,2836
LEAR CORP,LEA,0000842162,2531
TOR MINERALS INTL INC,TORM,0000842295,2810
TRIMAS CORP,TRS,0000842633,3460
ISSUER DIRECT CORP,ISDR,0000843006,7370
TETRA TECHNOLOGIES INC/DE,TTI,0000844965,1389
FUEL TECH INC,FTEK,0000846913,3569
LIFEVANTAGE CORP,LFVN,0000849146,2834
NORTONLIFELOCK INC,NLOK,0000849399,7372
SILGAN HOLDINGS INC,SLGN,0000849869,3411
FOOT LOCKER INC,FL,0000850209,5661
SORRENTO THERAPEUTICS INC,SRNE,0000850261,2836
TREDEGAR CORP,TG,0000850429,3081
ENCORE WIRE CORP,WIRE,0000850460,3357
COGNEX CORP,CGNX,0000851205,3823
HARMONIC INC,HLIT,0000851310,3663
EXPONENT INC,EXPO,0000851520,8742
MOHAWK INDUSTRIES INC,MHK,0000851968,2273
DENNYS CORP,DENN,0000852772,5812
LANDSTAR SYSTEM INC,LSTR,0000853816,4213
DIGI INTERNATIONAL INC,DGII,0000854775,3576
MICT INC,MICT,0000854800,3812
ZIX CORP,ZIXI,0000855612,7370
IMMUNOGEN INC,IMGN,0000855654,2836
LATTICE SEMICONDUCTOR CORP,LSCC,0000855658,3674
MILESTONE SCIENTIFIC INC,MLSS,0000855683,3843
MERIT MEDICAL SYSTEMS INC,MMSI,0000856982,3841
PTC INC,PTC,0000857005,7372
CHINA GREEN AGRICULTURE INC,CGA,0000857949,2870
CAESARS ENTERTAINMENT CORP,CZR,0000858339,7990
HAYNES INTERNATIONAL INC,HAYN,0000858655,3310
CISCO SYSTEMS INC,CSCO,0000858877,3576
AVX CORP,AVX,0000859163,3670
SEACOR HOLDINGS INC,CKH,0000859598,4412
HOLOGIC INC,HOLX,0000859737,3844
HCA HEALTHCARE INC,HCA,0000860730,8062
TYLER TECHNOLOGIES INC,TYL,0000860731,7373
GRANITE CONSTRUCTION INC,GVA,0000861459,1600
IDERA PHARMACEUTICALS INC,IDRA,0000861838,2836
STERICYCLE INC,SRCL,0000861878,4955
RELIANCE STEEL & ALUMINUM CO,RS,0000861884,5051
ESCALON MEDICAL CORP,ESMC,0000862668,3845
JANONE INC,JAN,0000862861,4953
ARTESIAN RESOURCES  -CL A,ARTNA,0000863110,4941
BENCHMARK ELECTRONICS INC,BHE,0000863436,3672
VERU INC,VERU,0000863894,3060
SYPRIS SOLUTIONS INC,SYPR,0000864240,3714
TRIMBLE INC,TRMB,0000864749,3829
MONSTER BEVERAGE CORP,MNST,0000865752,2086
MATRIX SERVICE CO,MTRX,0000866273,1623
FLEX LTD,FLEX,0000866374,3672
ION GEOPHYSICAL CORP,IO,0000866609,1382
ESCO TECHNOLOGIES INC,ESE,0000866706,3825
SCHOLASTIC CORP,SCHL,0000866729,2731
AUTOZONE INC,AZO,0000866787,5531
HELIX ENERGY SOLUTIONS GROUP,HLX,0000866829,1389
ELECTRONICS FOR IMAGING INC,EFII,0000867374,3577
ABRAXAS PETROLEUM CORP/NV,AXAS,0000867665,1311
SUNPOWER CORP,SPWR,0000867773,3674
PROPHASE LABS INC,PRPH,0000868278,2834
DORMAN PRODUCTS INC,DORM,0000868780,3714
AECOM,ACM,0000868857,8711
IMEDIA BRANDS INC,IMBI,0000870826,5961
MANPOWERGROUP,MAN,0000871763,7363
PETROQUEST ENERGY INC,PQUEQ,0000872248,1311
REGENERON PHARMACEUTICALS,REGN,0000872589,2834
DELCATH SYSTEMS INC,DCTH,0000872912,3841
SAREPTA THERAPEUTICS INC,SRPT,0000873303,2836
IONIS PHARMACEUTICALS INC,IONS,0000874015,2834
STERLING CONSTRUCTION CO INC,STRL,0000874238,1600
ADDVANTAGE TECHNOLOGIES GP,AEY,0000874292,5065
LIFETIME BRANDS INC,LCUT,0000874396,3420
ALLIED HEALTHCARE PRODS INC,AHPI,0000874710,3842
IDEXX LABS INC,IDXX,0000874716,2835
AES CORP (THE),AES,0000874761,4991
BIOGEN INC,BIIB,0000875045,2836
VERTEX PHARMACEUTICALS INC,VRTX,0000875320,2834
INSIGNIA SYSTEMS INC,ISIG,0000875355,7310
NORTHERN TECH INTL,NTIC,0000875582,2890
BIOSPECIFICS TECHNOLOGIES CP,BSTC,0000875622,2834
ULTRALIFE CORP,ULBI,0000875657,3690
PROGRESS SOFTWARE CORP,PRGS,0000876167,7372
LINEAGE CELL THERAPEUTICS IN,LCTX,0000876343,2836
TRANSENTERIX INC,TRXC,0000876378,3841
MONRO INC,MNRO,0000876427,7500
EZCORP INC  -CL A,EZPW,0000876523,5900
MDC PARTNERS INC,MDCA,0000876883,7311
ZEBRA TECHNOLOGIES CP  -CL A,ZBRA,0000877212,3577
SPARTANNASH CO,SPTN,0000877422,5141
CITRIX SYSTEMS INC,CTXS,0000877890,7372
NATUS MEDICAL INC,NTUS,0000878526,3845
TUESDAY MORNING CORP,TUES,0000878726,5331
WIRELESS TELECOM GROUP INC,WTT,0000878828,3663
OLD DOMINION FREIGHT,ODFL,0000878927,4213
INCYTE CORP,INCY,0000879169,2836
ARROWHEAD PHARMACEUTICALS,ARWR,0000879407,2836
WABASH NATIONAL CORP,WNC,0000879526,3715
ATN INTERNATIONAL INC,ATNI,0000879585,4812
VIVEVE MEDICAL INC,VIVE,0000879682,3845
SANFILIPPO JOHN B&SON,JBSS,0000880117,2060
AGCO CORP,AGCO,0000880266,3523
MISONIX INC,MSON,0000880432,3841
AMERICAN SUPERCONDUCTOR CP,AMSC,0000880807,3621
ACORN ENERGY INC,ACFN,0000880984,3812
VIVUS INC,VVUS,0000881524,2834
GILEAD SCIENCES INC,GILD,0000882095,2836
PDL BIOPHARMA INC,PDLI,0000882104,2836
D R HORTON INC,DHI,0000882184,1531
AETHLON MEDICAL INC,AEMD,0000882291,3841
QUICKLOGIC CORP,QUIK,0000882508,3674
BIOCRYST PHARMACEUTICALS INC,BCRX,0000882796,2836
ROPER TECHNOLOGIES INC,ROP,0000882835,3823
NANOPHASE TECHNOLOGIES CORP,NANX,0000883107,3290
SYNOPSYS INC,SNPS,0000883241,7372
FOSSIL GROUP INC,FOSL,0000883569,3873
CORNERSTNE BULDNG BRNDS INC,CNR,0000883902,3448
CHRISTOPHER & BANKS CORP,CBKC,0000883943,5621
USA TRUCK INC,USAK,0000883945,4213
FIRST DATA CORP,FDC,0000883980,7374
ICU MEDICAL INC,ICUI,0000883984,3841
ASURE SOFTWARE INC,ASUR,0000884144,7370
TAILORED BRANDS INC,TLRD,0000884217,5600
VIAD CORP,VVI,0000884219,7389
ALPHA PRO TECH LTD,APT,0000884269,3089
UGI CORP,UGI,0000884614,4932
ORTHOFIX MEDICAL INC,OFIX,0000884624,3841
PRIMO WATER CORP,PRMW,0000884713,2086
ROYAL CARIBBEAN CRUISES LTD,RCL,0000884887,4400
STEIN MART INC,SMRT,0000884940,5651
BUCKLE INC,BKE,0000885245,5651
JEWETT-CAMERON TRADING CO,JCTCF,0000885307,5031
GULF RESOURCES INC,GURE,0000885462,2810
STRATUS PROPERTIES INC,STRS,0000885508,7011
BAUSCH HEALTH COMPANIES INC,BHC,0000885590,2834
KOHL'S CORP,KSS,0000885639,5311
BOSTON SCIENTIFIC CORP,BSX,0000885725,3845
U S PHYSICAL THERAPY INC,USPH,0000885978,8000
FUELCELL ENERGY INC,FCEL,0000886128,3690
SAGA COMMUNICATIONS  -CL A,SGA,0000886136,4832
BED BATH & BEYOND INC,BBBY,0000886158,5700
LIGAND PHARMACEUTICAL INC,LGND,0000886163,2834
FRANKLIN COVEY CO,FC,0000886206,8200
KADANT INC,KAI,0000886346,3550
GERON CORP,GERN,0000886744,2836
SUPERIOR ENERGY SERVICES INC,SPN,0000886835,1389
PERCEPTRON INC,PRCP,0000887226,3827
ADAMIS PHARMACEUTICALS CORP,ADMP,0000887247,2834
VERICEL CORP,VCEL,0000887359,2836
CHEESECAKE FACTORY INC,CAKE,0000887596,5812
KEMET CORP,KEM,0000887730,3670
CENTRAL GARDEN & PET CO,CENTA,0000887733,5140
REVLON INC  -CL A,REV,0000887921,2844
FTI CONSULTING INC,FCN,0000887936,8721
LITTELFUSE INC,LFUS,0000889331,3613
CPI AEROSTRUCTURES INC,CVU,0000889348,3728
PATTERSON-UTI ENERGY INC,PTEN,0000889900,1381
LIGHTPATH TECHNOLOGIES INC,LPTH,0000889971,3827
MOSYS INC,MOSY,0000890394,3674
VERTEX ENERGY INC,VTNR,0000890447,5172
BARNES & NOBLE INC,BKS,0000890491,5940
ASGN INC,ASGN,0000890564,7363
AMERI HOLDINGS INC,AMRH,0000890821,7370
MINERALS TECHNOLOGIES INC,MTX,0000891014,1400
PATTERSON COS INC,PDCO,0000891024,5047
IAC/INTERACTIVECORP,IAC,0000891103,7370
CTI BIOPHARMA CORP,CTIC,0000891293,2836
FULL HOUSE RESORTS INC,FLL,0000891482,7990
PERMA-FIX ENVIRONMENTAL SVCS,PESI,0000891532,4955
CRAFT BREW ALLIANCE INC,BREW,0000892222,2082
QUMU CORP,QUMU,0000892482,7370
MANTECH INTL CORP,MANT,0000892537,7373
CHART INDUSTRIES INC,GTLS,0000892553,3443
MEDNAX INC,MD,0000893949,8011
AIR TRANSPORT SERVICES GROUP,ATSG,0000894081,4512
ARCBEST CORP,ARCB,0000894405,4213
CREE INC,CREE,0000895419,3674
SHOE CARNIVAL INC,SCVL,0000895447,5661
ROCKY BRANDS INC,RCKY,0000895456,3140
SUPERCONDUCTOR TECHNOLOGIES,SCON,0000895665,3670
ENBRIDGE INC,ENB,0000895728,4924
ETHAN ALLEN INTERIORS INC,ETH,0000896156,2510
AMEDISYS INC,AMED,0000896262,8082
USANA HEALTH SCIENCES INC,USNA,0000896264,2834
USA TECHNOLOGIES INC,USAT,0000896429,3578
DPW HOLDINGS INC,DPW,0000896493,3679
APTARGROUP INC,ATR,0000896622,3089
AVID TECHNOLOGY INC,AVID,0000896841,3861
INTUIT INC,INTU,0000896878,7372
DESTINATION MATERNITY CORP,DESTQ,0000896985,5621
ALAMO GROUP INC,ALG,0000897077,3523
CHICOS FAS INC,CHS,0000897429,5621
SANMINA CORP,SANM,0000897723,3672
O'REILLY AUTOMOTIVE INC,ORLY,0000898173,5531
JABIL INC,JBL,0000898293,3672
ANIKA THERAPEUTICS INC,ANIK,0000898437,2836
SHARPS COMPLIANCE CORP,SMED,0000898770,4955
MANNKIND CORP,MNKD,0000899460,2836
TITAN INTERNATIONAL INC,TWI,0000899751,3523
ALEXION PHARMACEUTICALS INC,ALXN,0000899866,2836
MYRIAD GENETICS INC,MYGN,0000899923,2835
COPART INC,CPRT,0000900075,5010
PAPA JOHNS INTERNATIONAL INC,PZZA,0000901491,5812
LIBBEY INC,LBY,0000902274,3220
BARRETT BUSINESS SVCS INC,BBSI,0000902791,7363
GENTHERM INC,THRM,0000903129,3714
INNODATA INC,INOD,0000903651,7374
SHILOH INDUSTRIES INC,SHLO,0000904979,3460
NVR INC,NVR,0000906163,1531
BOYD GAMING CORP,BYD,0000906553,7990
NEKTAR THERAPEUTICS,NKTR,0000906709,2834
EMPIRE RESORTS INC,NYNY,0000906780,7990
MONARCH CASINO & RESORT INC,MCRI,0000907242,7990
BORGWARNER INC,BWA,0000908255,3714
ATRM HOLDINGS INC,ATRM,0000908598,1520
SIRIUS XM HOLDINGS INC,SIRI,0000908937,4832
SKYLINE CORP,SKY.1,000090896,
TUCOWS INC,TCX,0000909494,7370
TANDY LEATHER FACTORY INC,TLF,0000909724,5990
COSTCO WHOLESALE CORP,COST,0000909832,5399
TITAN PHARMACEUTICALS INC,TTNP,0000910267,2834
MEDIFAST INC,MED,0000910329,2090
DECKERS OUTDOOR CORP,DECK,0000910521,3100
3D SYSTEMS CORP,DDD,0000910638,3559
MOBILE MINI INC,MINI,0000911109,7359
CENTURY CASINOS INC,CNTY,0000911147,7990
CASELLA WASTE SYS INC  -CL A,CWST,0000911177,4953
PALATIN TECHNOLOGIES INC,PTN,0000911216,2836
NATURAL HEALTH TRENDS CORP,NHTC,0000912061,5122
VIAVI SOLUTIONS INC,VIAV,0000912093,3576
GIBRALTAR INDUSTRIES INC,ROCK,0000912562,3310
SCHNITZER STEEL INDS  -CL A,SCHN,0000912603,5093
URBAN OUTFITTERS INC,URBN,0000912615,5651
FORWARD AIR CORP,FWRD,0000912728,4210
SINCLAIR BROADCAST GP  -CL A,SBGI,0000912752,4833
LAUREATE EDUCATION INC,LAUR,0000912766,8200
UNIVERSAL FOREST PRODS INC,UFPI,0000912767,2421
BELDEN INC,BDC,0000913142,3670
MADDEN STEVEN LTD,SHOO,0000913241,3140
CLARUS CORP,CLAR,0000913277,3949
PLANTRONICS INC,PLT,0000914025,3661
PERMA-PIPE INTERNATIONAL HOL,PPIH,0000914122,3490
PARKERVISION INC,PRKR,0000914139,3663
UFP TECHNOLOGIES INC,UFPT,0000914156,3086
NEUROCRINE BIOSCIENCES INC,NBIX,0000914475,2836
STEEL CONNECT INC,STCN,0000914712,7374
SIGMATRON INTERNATIONAL INC,SGMA,0000915358,3672
EASTMAN CHEMICAL CO,EMN,0000915389,2821
DSP GROUP INC,DSPG,0000915778,3663
DAKTRONICS INC,DAKT,0000915779,3990
BEAZER HOMES USA INC,BZH,0000915840,1531
ALBEMARLE CORP,ALB,0000915913,2810
MARTIN MARIETTA MATERIALS,MLM,0000916076,1400
TRACTOR SUPPLY CO,TSCO,0000916365,5200
CALPINE CORP,8356B,0000916457,4991
AROTECH CORP,ARTX,0000916529,3690
DARLING INGREDIENTS INC,DAR,0000916540,2070
HELEN OF TROY LTD,HELE,0000916789,3634
SILICOM LTD,SILC,0000916793,3576
OLYMPIC STEEL INC,ZEUS,0000917470,5051
FARO TECHNOLOGIES INC,FARO,0000917491,3829
INTEGRA LIFESCIENCES HLDGS,IART,0000917520,3842
AK STEEL HOLDING CORP,AKS,0000918160,3312
MOTORCAR PARTS OF AMER INC,MPAA,0000918251,3690
NN INC,NNBR,0000918541,3562
EAGLE MATERIALS INC,EXP,0000918646,3270
SCANSOURCE INC,SCSC,0000918965,5045
DIVERSICARE HEALTHCARE SVCS,DVCR,0000919956,8051
LABORATORY CP OF AMER HLDGS,LH,0000920148,8071
SIMPSON MANUFACTURING INC,SSD,0000920371,3420
LA JOLLA PHARMACEUTICAL CO,LJPC,0000920465,2836
LENNAR CORP,LEN,0000920760,1531
AMPLIPHI BIOSCIENCES CORP,APHB,0000921114,
FIBROGEN INC,FGEN,0000921299,2836
IMAX CORP,IMAX,0000921582,3861
PENN NATIONAL GAMING INC,PENN,0000921738,7990
FALCONSTOR SOFTWARE INC,FALC,0000922521,7373
SCHMITT INDUSTRIES INC/OR,SMIT,0000922612,3823
GREENBRIER COS INC (THE),GBX,0000923120,3743
ENERGY FOCUS INC,EFOI,0000924168,3640
GENASYS INC,GNSS,0000924383,3651
MILLER INDUSTRIES INC/TN,MLR,0000924822,3713
HUDSON TECHNOLOGIES INC,HDSN,0000925528,4955
CENTRAL EUROPEAN MEDIA,CETV,0000925645,4833
ADTRAN INC,ADTN,0000926282,3661
OMNICELL INC,OMCL,0000926326,7373
MITCHAM INDUSTRIES INC,MIND,0000926423,3829
VERMILLION INC,VRML,0000926617,2835
ADVANCED ENERGY INDS INC,AEIS,0000927003,3679
DAVITA INC,DVA,0000927066,8090
TESSCO TECHNOLOGIES INC,TESS,0000927355,5065
MCKESSON CORP,MCK,0000927653,5122
SPANISH BROADCASTING SYS INC,SBSAA,0000927720,4832
FLOTEK INDUSTRIES INC,FTK,0000928054,2891
CONSOLIDATED WATER CO INC,CWCO,0000928340,4941
AMCON DISTRIBUTING CO,DIT,0000928465,5190
COVENANT TRANSPORTATION GRP,CVTI,0000928658,4213
WESCO INTL INC,WCC,0000929008,5063
LIONS GATE ENTERTAINMENT CP,LGF.A,0000929351,7812
ASPEN TECHNOLOGY INC,AZPN,0000929940,7372
KFORCE INC,KFRC,0000930420,7363
POLARIS INC,PII,0000931015,3790
RENNOVA HEALTH INC,RNVA,0000931059,8071
GRAFTECH INTERNATIONAL LTD,EAF,0000931148,3620
DEAN FOODS CO,DFODQ,0000931336,2020
UNVL STAINLESS & ALLOY PRODS,USAP,0000931584,3312
INSIGHT ENTERPRISES INC,NSIT,0000932696,5045
STRATTEC SECURITY CORP,STRT,0000933034,3714
RENT-A-CENTER INC,RCII,0000933036,7350
ENGLOBAL CORP,ENG,0000933738,8711
BROOKS AUTOMATION INC,BRKS,0000933974,3559
SPEEDWAY MOTORSPORTS INC,TRK,0000934648,7948
ACI WORLDWIDE INC,ACIW,0000935036,7370
RCI HOSPITALITY HLDGS INC,RICK,0000935419,5810
NATIONAL INSTRUMENTS CORP,NATI,0000935494,7372
DOLLAR TREE INC,DLTR,0000935703,5331
CIENA CORP,CIEN,0000936395,3661
LOCKHEED MARTIN CORP,LMT,0000936468,3760
TRINET GROUP INC,TNET,0000937098,7374
MASIMO CORP,MASI,0000937556,3845
PCM INC,PCMI,0000937941,5961
EXELIXIS INC,EXEL,0000939767,2836
PYXUS INTERNATIONAL INC,PYX,0000939930,5190
HUB GROUP INC  -CL A,HUBG,0000940942,4731
DARDEN RESTAURANTS INC,DRI,0000940944,5812
TAITRON COMPONENTS  -CL A,TAIT,0000942126,5065
WABTEC CORP,WAB,0000943452,3743
RESMED INC,RMD,0000943819,3845
GOODRICH PETROLEUM CORP,GDP,0000943861,1311
SOCKET MOBILE INC,SCKT,0000944075,3663
CBIZ INC,CBZ,0000944148,8721
GSE SYSTEMS INC,GVP,0000944480,7361
OPKO HEALTH INC,OPK,0000944809,8071
POOL CORP,POOL,0000945841,5090
WAYSIDE TECHNOLOGY GROUP INC,WSTG,0000945983,5045
ASTEA INTERNATIONAL INC,ATEA,0000945989,7372
BALLANTYNE STRONG INC,BTN,0000946454,3861
WINDTREE THERAPEUTICS INC,WINT,0000946486,2836
RETRACTABLE TECHNOLOGIES INC,RVP,0000946563,3841
TAKE-TWO INTERACTIVE SFTWR,TTWO,0000946581,7372
AIM IMMUNOTECH INC,AIM,0000946644,2836
SMITH MICRO SOFTWARE INC,SMSI,0000948708,7372
DIAMOND OFFSHRE DRILLING INC,DO,0000949039,1381
CENTURY ALUMINUM CO,CENX,0000949157,3350
CRAY INC,CRAY,0000949158,3571
BOSTON BEER INC  -CL A,SAM,0000949870,2082
NORDIC AMERICAN TANKERS LTD,NAT,0001000177,4400
HENRY SCHEIN INC,HSIC,0001000228,5047
CORE LABORATORIES NV,CLB,0001000229,1389
SCHWEITZER-MAUDUIT INTL INC,SWM,0001000623,2621
BLONDER TONGUE LABS INC,BDR,0001000683,3663
NOVAVAX INC,NVAX,0001000694,2836
