CONM,TIC,CIK
BANK SOUTH CAROLINA CORP,BKSC,1007273
ADMA BIOLOGICS INC,ADMA,1368514
HEMISPHERE MEDIA GROUP INC,HMTV,1567345
TABLEAU SOFTWARE INC,DATA,1303652
TRISTATE CAPITAL HLDGS INC,TSC,1380846
CODORUS VALLEY BANCORP,CVLY,806279
CONNECTONE BANCORP INC,CNOB,712771
EKSO BIONICS HOLDINGS INC,EKSO,1549084
AUDIOEYE INC,AEYE,1362190
EPIZYME INC,EPZM,1571498
CHANNELADVISOR CORP,ECOM,1169652
T-MOBILE US INC,TMUS,1283699
NICOLET BANKSHARES INC,NCBS,1174850
CHEMUNG FINANCIAL CORP,CHMG,763563
IKONICS CORP,IKNX,1083301
HEAT BIOLOGICS INC,HTBX,1476963
IQVIA HOLDINGS INC,IQV,1478242
PORTOLA PHARMACEUTICALS INC,PTLA,1269021
SPROUTS FARMERS MARKET,SFM,1575515
FRANK'S INTL NV,FI,1575828
CENTURY COMMUNITIES INC,CCS,1576940
NANOSTRING TECHNOLOGIES INC,NSTG,1401708
COMMSCOPE HOLDING CO INC,COMM,1517228
CITIZENS & NORTHERN CORP,CZNC,810958
REPUBLIC FIRST BANCORP INC,FRBK,834285
NOODLES & CO,NDLS,1275158
F N B CORP/FL,FNB,37808
TELARIA INC,TLRA,1375796
MALLINCKRODT PLC,MNK,1567892
FINJAN HOLDINGS INC,FNJN,1366340
JONES ENERGY INC,JONEQ,1573166
TECOGEN INC,TGEN,1537435
AGIOS PHARMACEUTICALS,AGIO,1439222
CONATUS PHARMACEUTICALS INC,CNAT,1383701
NEW HOME CO INC,NWHM,1574596
ONCONOVA THERAPEUTICS INC,ONTX,1130598
FIDELITY D & D BANCORP INC,FDBC,1098151
NATIONAL GENERAL HOLDINGS CP,NGHC,1578735
ANI PHARMACEUTICALS INC,ANIP,1023024
SAEXPLORATION HOLDINGS INC,SAEX,1514732
FIRST COMMONWLTH FINL CP/PA,FCF,712537
FIRST FINANCIAL CORP/IN,THFF,714562
ARDMORE SHIPPING CORP,ASC,1577437
DOCUMENT SECURITY SYS INC,DSS,771999
CONTROL4 CORP,CTRL,1259515
SANTANDER CONSUMER USA HLDGS,SC,1580608
FIRST LONG ISLAND CORP,FLIC,740663
PRECIGEN INC,PGEN,1356090
FOX FACTORY HOLDING CP,FOXF,1424929
FIRST BUSEY CORP,BUSE,314489
FIRST UNITED CORP,FUNC,763907
CAROLINA FINANCIAL CORP,CARO,870385
EASTSIDE DISTILLING INC,EAST,1534708
FIVE PRIME THERAPEUTICS INC,FPRX,1175505
THIRD POINT REINSURANCE LTD,TPRE,1576018
JASON INDUSTRIES INC,JASN,1579252
FIREEYE INC,FEYE,1370880
NXT-ID INC,NXTD,1566826
MURPHY USA INC,MUSA,1573516
IDEAL POWER INC,IPWR,1507957
ACCELERON PHARMA INC,XLRN,1280600
HORIZON BANCORP INC,HBNC,706129
CLEARONE INC,CLRO,840715
CHEGG INC,CHGG,1364954
BENEFITFOCUS INC,BNFT,1576169
FATE THERAPEUTICS INC,FATE,1434316
APPLIED OPTOELECTRONICS INC,AAOI,1158114
IVERIC BIO INC,ISEE,1410939
RE/MAX HOLDINGS INC,RMAX,1581091
LGI HOMES INC,LGIH,1580670
RINGCENTRAL INC,RNG,1384905
MACROGENICS INC,MGNX,1125345
EP ENERGY CORP,EPEGQ,1584952
TRANSENTERIX INC,TRXC,876378
PATTERN ENERGY GROUP INC,PEGI,1561660
CB FINANCIAL SERVICES INC,CBFV,1605301
LAKELAND FINANCIAL CORP,LKFN,721994
ALKIDO PHARMA INC,AIKI,12239
ESSENT GROUP LTD,ESNT,1448893
AERIE PHARMACEUTICALS INC,AERI,1337553
CAPITALA FINANCE CORP,CPTA,1571329
POTBELLY CORP,PBPB,1195734
SHARING ECONMY INTL INC -OLD,SEII.1,819926
TWITTER INC,TWTR,1418091
EXP WORLD HOLDINGS INC,EXPI,1495932
AMNEAL PHARMACEUTICALS INC,AMRX,1723128
TAKUNG ART CO LTD,TKAT,1491487
TANDEM DIABETES CARE INC,TNDM,1438133
TREVENA INC,TRVN,1429560
KARYOPHARM THERAPEUTICS INC,KPTI,1503802
XENCOR INC,XNCR,1326732
VERACYTE INC,VCYT,1384101
ONE GP HOSPITALITY (THE),STKS,1399520
ZYLA LIFE SCIENCES,ZCOR,1586105
OXFORD IMMUNOTEC GLOBAL PLC,OXFD,1586049
MARCUS & MILLICHAP INC,MMI,1578732
RECRO PHARMA INC,REPH,1588972
VARONIS SYSTEMS INC,VRNS,1361113
MBT FINANCIAL CORP,MBTF,1118237
CAMPING WORLD HOLDINGS INC,CWH,1669779
N B T BANCORP INC,NBTB,790359
BIOCEPT INC,BIOC,1044378
HALLADOR ENERGY CO,HNRG,788965
OHIO VALLEY BANC CORP,OVBC,894671
KINDRED BIOSCIENCES INC,KIN,1561743
OLD SECOND BANCORP INC/IL,OSBC,357173
CARA THERAPEUTICS INC,CARA,1346830
PENNS WOODS BANCORP INC,PWOD,716605
CAPRICOR THERAPEUTICS INC,CAPR,1133869
COMMUNITY TRUST BANCORP INC,CTBI,350852
INOGEN INC,INGN,1294133
PREFORMED LINE PRODUCTS CO,PLPC,80035
PARK NATIONAL CORP,PRK,805676
ECO-STIM ENERGY SOLUTIONS,ESES,1135657
CARE.COM INC,CRCM,1412270
SIMMONS FIRST NATL CP  -CL A,SFNC,90498
DENNYS CORP,DENN,852772
INTRA-CELLULAR THERAPIES INC,ITCI,1567514
GREAT SOUTHERN BANCORP,GSBC,854560
CONTINENTAL BUILDING PRODS,CBPX,1592480
SESEN BIO INC,SESN,1485003
DICERNA PHARMACEUTICALS INC,DRNA,1399529
REVANCE THERAPEUTICS INC,RVNC,1479290
FORTRESS TRANS INFRASTR INVS,FTAI,1590364
OUTFRONT MEDIA INC,OUT,1579877
INSTALLED BLDG PRODUCTS INC,IBP,1580905
ONE GAS INC,OGS,1587732
KNOWLES CORP,KN,1587523
AGROFRESH SOLUTIONS INC,AGFS,1592016
1347 PROPERTY INS HLDGS INC,PIH,1591890
CONCERT PHARMACEUTICLS INC,CNCE,1367920
S & T BANCORP INC,STBA,719220
GANNETT CO INC,GCI,1579684
TRIBUNE PUBLISHING CO,TPCO,1593195
CYMABAY THERAPEUTICS INC,CBAY,1042074
TURTLE BEACH CORP,HEAR,1493761
LENDINGCLUB CORP,LC,1409970
SABRE CORP,SABR,1597033
ATLANTIC UNION BANKSHRS CRP,AUB,883948
NEOLEUKIN THERAPEUTICS INC,NLTX,1404644
ACHAOGEN INC,AKAOQ,1301501
RESONANT INC,RESN,1579910
QUOTIENT TECHNOLOGY INC,QUOT,1115128
INVESTCORP CRDT MNGMT BDC,ICMB,1578348
RUBICON PROJECT INC,RUBI,1595974
CASTLIGHT HEALTH INC,CSLT,1433714
EAGLE PHARMACEUTICALS INC,EGRX,827871
COREPOINT LODGING INC,CPLG,1707178
FIRST CHOICE BANCORP,FCBP,1716697
UNIVEST FINANCIAL CORP,UVSP,102212
ARAVIVE INC,ARAV,1513818
SMART & FINAL STORES INC,SFS,1563407
A10 NETWORKS INC,ATEN,1580808
VERITIV CORP,VRTV,1599489
AKEBIA THERAPEUTICS INC,AKBA,1517022
WASHINGTON TR BANCORP INC,WASH,737468
Q2 HOLDINGS INC,QTWO,1410384
2U INC,TWOU,1459417
AEROHIVE NETWORKS INC,HIVE,1372414
GRUBHUB INC,GRUB,1594109
FIVE9 INC,FIVN,1288847
MOELIS & CO,MC,1596967
ENLINK MIDSTREAM LLC,ENLC,1592000
ENERGOUS CORP,WATT,1575793
AMBER ROAD INC,AMBR,1314223
MEDPACE HOLDINGS INC,MEDP,1668397
TIMKENSTEEL CORP,TMST,1598428
CVB FINANCIAL CORP,CVBF,354647
ALDER BIOPHARMACEUTICALS INC,ALDR,1423824
SCYNEXIS INC,SCYX,1178253
ADAMAS PHARMACEUTICALS INC,ADMS,1328143
PRESBIA PLC,LENSF,1591096
BG STAFFING INC,BGSF,1474903
SERVICEMASTER GLOBAL HLDGS,SERV,1428875
FS KKR CAPITAL CORP,FSK,1422183
CAPITAL CITY BK GROUP INC,CCBG,726601
PAYCOM SOFTWARE INC,PAYC,1590955
MTBC INC,MTBC,1582982
ICONIX BRAND GROUP INC,ICON,857737
ZENDESK INC,ZEN,1463172
THERAVANCE BIOPHARMA INC,TBPH,1583107
NOW INC,DNOW,1599617
PARSLEY ENERGY INC,PE,1594466
LIVE OAK BANCSHARES INC,LOB,1462120
MOBILEIRON INC,MOBL,1470099
PRIMO WATER CORP,PRMW,884713
PAPA MURPHY'S HOLDINGS INC,FRSH,1592379
ARES MANAGEMENT CORP,ARES,1176948
HERITAGE INSURANCE HOLDINGS,HRTG,1598665
CAESARS ENTERTAINMENT CORP,CZR,858339
MONTAGE RESOURCES CORP,MR,1600470
TRUECAR INC,TRUE,1327318
NANOVIBRONIX INC,NAOV,1326706
MDC PARTNERS INC,MDCA,876883
INVESTAR HOLDING CORP,ISTR,1602658
GOPRO INC,GPRO,1500435
ARDELYX INC,ARDX,1437402
SYNDAX PHARMACEUTICALS INC,SNDX,1395937
AMPHASTAR PHARMACEUTICLS INC,AMPH,1297184
VECTRUS INC,VEC,1601548
FIRST FOUNDATION INC,FFWM,1413837
SYNCHRONY FINANCIAL,SYF,1601712
MASONITE INTERNATIONAL CORP,DOOR,893691
LIBERTY TRIPADVISOR HOLDINGS,LTRPA,1606745
TERRAFORM POWER INC,TERP,1599947
ARISTA NETWORKS INC,ANET,1596532
MATINAS BIOPHARMA HLDGS INC,MTNB,1582554
BLUE HILLS BANCORP INC,BHBK,1601545
IRADIMED CORP,IRMD,1325618
CANNAE HOLDINGS INC,CNNE,1704720
HELIUS MEDICAL TECHNOLOGIES,HSDT,1610853
LANTHEUS HOLDINGS INC,LNTH,1521036
INTERSECT ENT INC,XENT,1271214
IMMUNE DESIGN CORP,IMDZ,1437786
OCULAR THERAPEUTIX INC,OCUL,1393434
ADVERUM BIOTECHNOLOGIES,ADVM,1501756
T2 BIOSYSTEMS INC,TTOO,1492674
DIPLOMAT PHARMACY INC,DPLO,1610092
REWALK ROBOTICS LTD,RWLK,1607962
ACCELERATE DIAGNOSTICS INC,AXDX,727207
EL POLLO LOCO HOLDINGS INC,LOCO,1606366
OTONOMY INC,OTIC,1493566
INDEPENDENCE CONTRACT DRLLNG,ICD,1537028
NEW AGE BEVERAGES CORP,NBEV,1579823
LIBERTY BROADBAND CORP,LBRDK,1611983
NTN BUZZTIME INC,NTN,748592
TETRA TECHNOLOGIES INC/DE,TTI,844965
VICOR CORP,VICR,751978
EYEGATE PHARMACEUTICALS INC,EYEG,1372514
AVANOS MEDICAL INC,AVNS,1606498
SECOND SIGHT MEDICAL PRODS,EYES,1266806
GRANITE CONSTRUCTION INC,GVA,861459
CALIFORNIA RESOURCES CORP,CRC,1609253
LANDSTAR SYSTEM INC,LSTR,853816
KEMPER CORP/DE,KMPR,860748
UNIVAR SOLUTIONS INC,UNVR,1494319
CORINDUS VASCULAR ROBOTICS,CVRS,1528557
MENLO THERAPEUTICS INC,MNLO,1566044
WAYFAIR INC,W,1616707
AAON INC,AAON,824142
MEDLEY MANAGEMENT INC,MDLY,1611110
CREATIVE REALITIES INC,CREX,1356093
DERMIRA INC,DERM,1557883
VIVINT SOLAR INC,VSLR,1607716
CALITHERA BIOSCIENCES INC,CALA,1496671
VERITEX HOLDINGS INC,VBTX,1501570
PRA HEALTH SCIENCES INC,PRAH,1613859
XENON PHARMACEUTICALS INC,XENE,1582313
MERIT MEDICAL SYSTEMS INC,MMSI,856982
FRESHPET INC,FRPT,1611647
ELDORADO RESORTS INC,ERI,1590895
TRIUMPH BANCORP INC,TBK,1539638
TRAVELPORT WORLDWIDE LTD,TVPT,1424755
CITIZENS FINANCIAL GROUP INC,CFG,759944
MAMMOTH ENERGY SERVICES INC,TUSK,1679268
VIVEVE MEDICAL INC,VIVE,879682
COHERUS BIOSCIENCES INC,CHRS,1512762
HUBSPOT INC,HUBS,1404655
FIBROGEN INC,FGEN,921299
PANGAEA LOGISTICS SOLUTIONS,PANL,1606909
NEVRO CORP,NVRO,1444380
HABIT RESTAURANTS INC (THE),HABT,1617977
WORKIVA INC,WK,1445305
CORBUS PHARMACEUTICALS HLDGS,CRBP,1595097
SIENTRA INC,SIEN,1551693
SYNEOS HEALTH INC,SYNH,1610950
UPLAND SOFTWARE INC,UPLD,1505155
GREEN BRICK PARTNERS INC,GRBK,1373670
JOINT CORP (THE),JYNT,1612630
INTL BANCSHARES CORP,IBOC,315709
ASHFORD INC,AINC,1604738
AXALTA COATING SYSTEMS LTD,AXTA,1616862
MICRON SOLUTIONS INC,MICR,819689
FLOOR & DECOR HLDGS,FND,1507079
ON DECK CAPITAL INC,ONDK,1420811
COUNTY BANCORP INC,ICBK,1470205
TRUEBLUE INC,TBI,768899
HCA HEALTHCARE INC,HCA,860730
SMART SAND INC,SND,1529628
KLX INC,KLXI,1617898
CURO GROUP HLDGS CORP,CURO,1711291
PAR PACIFIC HOLDINGS INC,PARR,821483
SUMMIT MATERIALS INC,SUM,1621563
EARTHSTONE ENERGY INC,ESTE,10254
SHAKE SHACK INC,SHAK,1620533
FLEX PHARMA INC,FLKS,1615219
TRACON PHARMACEUTICALS INC,TCON,1394319
AVINGER INC,AVGR,1506928
INOVALON HOLDINGS INC,INOV,1619954
SPARK THERAPEUTICS INC,ONCE,1609351
HTG MOLECULAR DIAGNOSTICS,HTGM,1169987
STOCK YARDS BANCORP INC,SYBT,835324
CHEMOURS CO,CC,1627223
UQM TECHNOLOGIES INC,UQM,315449
TRIMBLE INC,TRMB,864749
CKX LANDS INC,CKX,352955
INVITAE CORP,NVTA,1501134
FIRST NORTHWEST BANCRP,FNWB,1556727
COMSTOCK RESOURCES INC -OLD,CRK,23194
EXPONENT INC,EXPO,851520
GODADDY INC,GDDY,1609711
BENCHMARK ELECTRONICS INC,BHE,863436
VALERITAS HOLDINGS INC,VLRXQ,1619250
FORTERRA INC,FRTA,1678463
ARCADIA BIOSCIENCES INC,RKDA,1469443
VIEWRAY INC,VRAY,1597313
GENESIS HEALTHCARE INC,GEN,1351051
SOLAREDGE TECHNOLOGIES INC,SEDG,1419612
CABLE ONE INC,CABO,1632127
INUVO INC,INUV,829323
ETSY INC,ETSY,1370637
OPGEN INC,OPGN,1293818
TOPBUILD CORP,BLD,1633931
TALLGRASS ENERGY GROUP LP,TGE,1633651
BIOLASE INC,BIOL,811240
NATIONAL COMMERCE CORP,NCOM,1609951
ADURO BIOTECH INC,ADRO,1435049
KEMPHARM INC,KMPH,1434647
CIDARA THERAPEUTICS INC,CDTX,1610618
BLUEPRINT MEDICINES CORP,BPMC,1597264
VIRTU FINANCIAL INC,VIRT,1592386
NORTHRIM BANCORP INC,NRIM,1163370
OPTIMIZERX CORP,OPRX,1448431
COVANTA HOLDING CORP,CVA,225648
CATHAY GENERAL BANCORP,CATY,861842
HORIZON GLOBAL CORP,HZN,1637655
COLLEGIUM PHARMACEUTICAL INC,COLL,1267565
MILACRON HOLDINGS CORP,MCRN,1637913
SHOPIFY INC,SHOP,1594805
PEOPLES UTAH BANCORP,PUB,1636286
COMMUNITY HEALTH SYSTEMS INC,CYH,1108109
DORMAN PRODUCTS INC,DORM,868780
PICO HOLDINGS INC,PICO,830122
ION GEOPHYSICAL CORP,IO,866609
REGENERON PHARMACEUTICALS,REGN,872589
EVOLENT HEALTH INC,EVH,1628908
GANNETT CO INC -OLD,GCI.1,1635718
WINGSTOP INC,WING,1636222
FITBIT INC,FIT,1447599
EXTERRAN CORP,EXTN,1635881
BABCOCK & WILCOX ENTERPRISES,BW,1630805
UNITED STATES STEEL CORP,X,1163302
GLAUKOS CORP,GKOS,1192448
ABRAXAS PETROLEUM CORP/NV,AXAS,867665
IONIS PHARMACEUTICALS INC,IONS,874015
APPFOLIO INC,APPF,1433195
CONFORMIS INC,CFMS,1305773
LIFETIME BRANDS INC,LCUT,874396
ALARM.COM HOLDINGS INC,ALRM,1459200
FIRSTCASH INC,FCFS,840489
NATERA INC,NTRA,1604821
SERES THERAPEUTICS INC,MCRB,1609809
IDEXX LABS INC,IDXX,874716
AMERI HOLDINGS INC,AMRH,890821
INSIGNIA SYSTEMS INC,ISIG,875355
AES CORP (THE),AES,874761
HANCOCK WHITNEY CORP,HWC,750577
STATE AUTO FINANCIAL CORP,STFC,874977
TELADOC HEALTH INC,TDOC,1477449
AMBAC FINANCIAL GROUP INC,AMBC,874501
DINE BRANDS GLOBAL INC,DIN,49754
KAISER ALUMINUM CORP,KALU,811596
ALKERMES PLC,ALKS,1520262
MONSTER BEVERAGE CORP,MNST,865752
VERTEX PHARMACEUTICALS INC,VRTX,875320
LINDBLAD EXPEDITIONS HLDGS,LIND,1512499
PROGRESS SOFTWARE CORP,PRGS,876167
TIVITY HEALTH INC,TVTY,704415
ZEBRA TECHNOLOGIES CP  -CL A,ZBRA,877212
BMC STOCK HOLDINGS INC,BMCH,1574815
PROASSURANCE CORP,PRA,1127703
BOK FINANCIAL CORP,BOKF,875357
IBERIABANK CORP,IBKC,933141
BIOGEN INC,BIIB,875045
RAPID7 INC,RPD,1560327
VTV THERAPEUTICS INC,VTVT,1641489
WILLIAM LYON HOMES,WLH,1095996
WIRELESS TELECOM GROUP INC,WTT,878828
SPX FLOW INC,FLOW,1641991
PAYPAL HOLDINGS INC,PYPL,1633917
OLD DOMINION FREIGHT,ODFL,878927
RYMAN HOSPITALITY PPTYS INC,RHP,1040829
TRANSUNION,TRU,1552033
IDEANOMICS INC,IDEX,837852
JANONE INC,JAN,862861
HORACE MANN EDUCATORS CORP,HMN,850141
ATN INTERNATIONAL INC,ATNI,879585
BIOSPECIFICS TECHNOLOGIES CP,BSTC,875622
WABASH NATIONAL CORP,WNC,879526
LIBERTY LATIN AMERICA LTD,LILAK,1712184
WISDOMTREE INVESTMENTS INC,WETF,880631
PERRIGO CO PLC,PRGO,1585364
SPOK HOLDINGS INC,SPOK,1289945
GILEAD SCIENCES INC,GILD,882095
PDL BIOPHARMA INC,PDLI,882104
LM FUNDING AMERICA INC,LMFA,1640384
SUNRUN INC,RUN,1469367
ACORN ENERGY INC,ACFN,880984
ROPER TECHNOLOGIES INC,ROP,882835
CALLAWAY GOLF CO,ELY,837465
LINEAGE CELL THERAPEUTICS IN,LCTX,876343
VIRTUS INVESTMENT PTNRS INC,VRTS,883237
USA TRUCK INC,USAK,883945
ICU MEDICAL INC,ICUI,883984
MOHAWK INDUSTRIES INC,MHK,851968
LINDE PLC,LIN,1707925
ASURE SOFTWARE INC,ASUR,884144
FIRST DATA CORP,FDC,883980
KOPIN CORP,KOPN,771266
RENASANT CORP,RNST,715072
AGCO CORP,AGCO,880266
UNIVERSAL DISPLAY CORP,OLED,1005284
BOSTON SCIENTIFIC CORP,BSX,885725
VBI VACCINES INC,VBIV,764195
U S PHYSICAL THERAPY INC,USPH,885978
CREDIT ACCEPTANCE CORP,CACC,885550
NANTKWEST INC,NK,1326110
COLUMBIA BANKING SYSTEM INC,COLB,887343
NEOS THERAPEUTICS INC,NEOS,1467652
GRAPHIC PACKAGING HOLDING CO,GPK,1408075
HOSTESS BRANDS INC,TWNK,1644406
STRATUS PROPERTIES INC,STRS,885508
NATIONAL BANKSHARES INC VA,NKSH,796534
SUPERIOR ENERGY SERVICES INC,SPN,886835
FULING GLOBAL INC,FORK,1637921
CPI CARD GROUP INC,PMTS,1641614
ENCORE WIRE CORP,WIRE,850460
CPI AEROSTRUCTURES INC,CVU,889348
LITTELFUSE INC,LFUS,889331
ASGN INC,ASGN,890564
ELECTRONICS FOR IMAGING INC,EFII,867374
CONSUMER PORTFOLIO SVCS INC,CPSS,889609
MINERALS TECHNOLOGIES INC,MTX,891014
PETROQUEST ENERGY INC,PQUEQ,872248
SITEONE LANDSCAPE SUPPLY INC,SITE,1650729
RADIAN GROUP INC,RDN,890926
SURGERY PARTNERS INC,SGRY,1638833
ACLARIS THERAPEUTICS INC,ACRS,1557746
QUMU CORP,QUMU,892482
KADANT INC,KAI,886346
NAVIDEA BIOPHARMACEUTICALS,NAVB,810509
GULF RESOURCES INC,GURE,885462
LIGAND PHARMACEUTICAL INC,LGND,886163
CHART INDUSTRIES INC,GTLS,892553
PERMA-FIX ENVIRONMENTAL SVCS,PESI,891532
CATALYST BIOSCIENCES INC,CBIO,1124105
SEACOR HOLDINGS INC,CKH,859598
HMS HOLDINGS CORP,HMSY,1196501
ULTRALIFE CORP,ULBI,875657
IAC/INTERACTIVECORP,IAC,891103
FIRST CMNTY BANCSHARES INC,FCBC,859070
CYTOMX THERAPEUTICS INC,CTMX,1501989
NOVOCURE LTD,NVCR,1645113
AMERICAN RENAL ASSOCS HLDGS,ARA,1498068
REGENXBIO INC,RGNX,1590877
PENUMBRA INC,PEN,1321732
CERECOR INC,CERC,1534120
HEWLETT PACKARD ENTERPRISE,HPE,1645590
QUORUM HEALTH CORP,QHC,1650445
ANAPTYSBIO INC,ANAB,1370053
SMARTFINANCIAL INC,SMBK,1038773
ADESTO TECHNOLOGIES CORP,IOTS,1395848
MYOKARDIA INC,MYOK,1552451
ALLEGIANCE BANCSHARES INC,ABTX,1642081
AQUAVENTURE HOLDINGS LTD,WAAS,1422841
LAUREATE EDUCATION INC,LAUR,912766
INSTRUCTURE INC,INST,1355754
PLX PHARMA INC,PLXP,1497504
WAVE LIFE SCIENCES LTD,WVE,1631574
VOYAGER THERAPEUTICS INC,VYGR,1640266
ARMSTRONG FLOORING INC,AFI,1655075
EQUITY BANCSHARES INC,EQBK,1227500
RED ROCK RESORTS INC,RRR,1653653
SQUARE INC,SQ,1512673
MATCH GROUP INC,MTCH,1575189
NUVECTRA CORP,NVTRQ,1648893
PYXIS TANKERS INC,PXS,1640043
WELBILT INC,WBT,1650962
ELEVATE CREDIT INC,ELVT,1651094
FORTIVE CORP,FTV,1659166
SENSEONICS HLDGS INC,SENS,1616543
ACACIA COMMUNICATIONS INC,ACIA,1651235
NUTANIX INC,NTNX,1618732
HERC HOLDINGS INC,HRI,1364479
PROTEOSTASIS THERAPEUTICS,PTI,1445283
TABULA RASA HEALTHCARE INC,TRHC,1651561
SPRING BANK PHARMACEUTICALS,SBPH,1566373
CLEARSIDE BIOMEDICAL INC,CLSD,1539029
GCP APPLIED TECHNOLOGIES INC,GCP,1644440
TACTILE SYSTEMS TECHNOLOGY,TCMD,1027838
CENTENNIAL RES DVLPMNT INC,CDEV,1658566
EDITAS MEDICINE INC,EDIT,1650664
REATA PHARMACEUTICALS INC,RETA,1358762
SENSUS HEALTHCARE INC,SRTS,1494891
LIBERTY EXPEDIA HOLDINGS INC,LEXEA,1669600
INTELLIA THERAPEUTICS INC,NTLA,1652130
FGL HOLDINGS,FG,1668428
BUSINESS FIRST BANCSHS INC,BFST,1624322
NANTHEALTH INC,NH,1566469
APTEVO THERAPEUTICS INC,APVO,1671584
SELECTA BIOSCIENCES INC,SELB,1453687
TWILIO INC,TWLO,1447669
JELD-WEN HOLDING INC,JELD,1674335
IMPINJ INC,PI,1114995
SYROS PHARMACEUTICALS INC,SYRS,1556263
HILTON GRAND VACATIONS,HGV,1674168
PARK HOTELS & RESORTS,PK,1617406
KADMON HOLDINGS INC,KDMN,1557142
ORTHOPEDIATRICS CORP,KIDS,1425450
TPI COMPOSITES INC,TPIC,1455684
ACUSHNET HOLDINGS CORP,GOLF,1672013
FIRST HAWAIIAN INC,FHB,36377
EXTRACTION OIL & GAS INC,XOG,1655020
INTERNATIONAL SEAWAYS INC,INSW,1679049
ATOMERA INC,ATOM,1420520
NAUTILUS INC,NLS,1078207
ROCKY BRANDS INC,RCKY,895456
SAGA COMMUNICATIONS  -CL A,SGA,886136
LSC COMMUNICATIONS INC,LKSD,1669812
DONNELLEY FINANCIAL SOLTNS,DFIN,1669811
LIVANOVA PLC,LIVN,1639691
CRYOLIFE INC,CRY,784199
UNIVERSAL ELECTRONICS INC,UEIC,101984
CONTURA ENERGY INC,CTRA,1704715
ALLERGAN PLC,AGN,1578845
ALLIANCE MMA INC,AMMA,1674227
FB FINANCIAL CORP,FBK,1649749
EVERBRIDGE INC,EVBG,1437352
TRADE DESK INC,TTD,1671933
NOVAN INC,NOVN,1467154
RELIV INTERNATIONAL INC,RELV,768710
E.L.F. BEAUTY INC,ELF,1600033
SUPERCONDUCTOR TECHNOLOGIES,SCON,895665
HUMANA INC,HUM,49071
VICAL INC,VICL,819050
AVID TECHNOLOGY INC,AVID,896841
HALLMARK FINANCIAL SERVICES,HALL,819913
CAPSTAR FINANCIAL HLDGS INC,CSTR,1676479
ALAMO GROUP INC,ALG,897077
BOSTON OMAHA CORP,BOMN,1494582
AETHLON MEDICAL INC,AEMD,882291
FULGENT GENETICS INC,FLGT,1674930
BANCFIRST CORP/OK,BANF,760498
CHUBB LTD,CB,896159
ADVANSIX INC,ASIX,1673985
DASAN ZHONE SOLUTIONS INC,DZSI,1101680
OBALON THERAPEUTICS INC,OBLN,1427570
EVERSPIN TECHNOLOGIES INC,MRAM,1438423
POLAR POWER INC,POLA,1622345
CRISPR THERAPEUTICS AG,CRSP,1674416
FOSSIL GROUP INC,FOSL,883569
MIDSOUTH BANCORP INC,MSL,745981
TRICO BANCSHARES,TCBK,356171
APTARGROUP INC,ATR,896622
O'REILLY AUTOMOTIVE INC,ORLY,898173
ROYAL CARIBBEAN CRUISES LTD,RCL,884887
HOWMET AEROSPACE INC,HWM,4281
POLYONE CORP,POL,1122976
ANIKA THERAPEUTICS INC,ANIK,898437
GERMAN AMERICAN BANCORP INC,GABC,714395
TITAN INTERNATIONAL INC,TWI,899751
CDW CORP,CDW,1402057
TRANSOCEAN LTD,RIG,1451505
FLOTEK INDUSTRIES INC,FTK,928054
ALLSTATE CORP,ALL,899051
SENESTECH INC,SNES,1680378
IRHYTHM TECHNOLOGIES INC,IRTC,1388658
PLAYA HOTELS & RESORTS N.V,PLYA,1692412
ORTHOFIX MEDICAL INC,OFIX,884624
PAPA JOHNS INTERNATIONAL INC,PZZA,901491
GENTHERM INC,THRM,903129
BARRETT BUSINESS SVCS INC,BBSI,902791
BLACKLINE INC,BL,1666134
QUANTENNA COMMUNICATIONS INC,QTNA,1370702
LIBBEY INC,LBY,902274
RA PHARMACEUTICALS INC,RARX,1481512
FLIR SYSTEMS INC,FLIR,354908
YUM CHINA HOLDINGS INC,YUMC,1673358
BANCORP 34 INC,BCTF,1668340
BRINKS CO,BCO,78890
FIRST DEFIANCE FINANCIAL CP,FDEF,946647
TANDY LEATHER FACTORY INC,TLF,909724
MONARCH CASINO & RESORT INC,MCRI,907242
ATRM HOLDINGS INC,ATRM,908598
INNODATA INC,INOD,903651
CONDUENT INC,CNDT,1677703
BORGWARNER INC,BWA,908255
FULL HOUSE RESORTS INC,FLL,891482
SPARTANNASH CO,SPTN,877422
WINMARK CORP,WINA,908315
YUMA ENERGY INC,YUMA,1672326
ROYALE ENERGY INC,ROYL,1694617
FUEL TECH INC,FTEK,846913
ARRIS INTERNATIONAL PLC,ARRS,1645494
KEURIG DR PEPPER INC,KDP,1418135
MARRIOTT INTL INC,MAR,1048286
BELDEN INC,BDC,913142
QCR HOLDINGS INC,QCRH,906465
BOYD GAMING CORP,BYD,906553
CHECKPOINT THERAPEUTICS INC,CKPT,1651407
ALBIREO PHARMA INC,ALBO,1322505
FIRST FINL BANKSHARES INC,FFIN,36029
PATTERSON-UTI ENERGY INC,PTEN,889900
INCYTE CORP,INCY,879169
EMPIRE RESORTS INC,NYNY,906780
GIBRALTAR INDUSTRIES INC,ROCK,912562
ITRON INC,ITRI,780571
WILDHORSE RES DVLPT,WRD,1681714
CENTURY CASINOS INC,CNTY,911147
CARS.COM INC,CARS,1683606
UNIVERSAL FOREST PRODS INC,UFPI,912767
